Year,Month,Day,Period,a,b,c,d,e
2009,1,1,1,10,60,0,100,100
2009,1,1,2,10,60,0,100,100
2009,1,1,3,10,60,0,100,100
2009,1,1,4,10,60,0,100,100
2009,1,1,5,10,60,0,100,100
2009,1,1,6,10,60,0,100,100
2009,1,1,7,10,60,0,100,100
2009,1,1,8,10,60,0,100,100
2009,1,1,9,10,60,0,100,100
2009,1,1,10,10,60,0,100,100
2009,1,1,11,10,60,0,100,100
2009,1,1,12,10,60,0,100,100
2009,1,1,13,10,60,0,100,100
2009,1,1,14,10,60,0,100,100
2009,1,1,15,10,60,0,100,100
2009,1,1,16,10,60,0,100,100
2009,1,1,17,10,60,0,100,100
2009,1,1,18,10,60,0,100,100
2009,1,1,19,10,60,0,100,100
2009,1,1,20,10,60,0,100,100
2009,1,1,21,10,60,0,100,100
2009,1,1,22,10,60,0,100,100
2009,1,1,23,10,60,0,100,100
2009,1,1,24,10,60,0,100,100
2009,1,2,1,40,90,60,90,50
2009,1,2,2,40,90,60,90,50
2009,1,2,3,40,90,60,90,50
2009,1,2,4,40,90,60,90,50
2009,1,2,5,40,90,60,90,50
2009,1,2,6,40,90,60,90,50
2009,1,2,7,40,90,60,90,50
2009,1,2,8,40,90,60,90,50
2009,1,2,9,40,90,60,90,50
2009,1,2,10,40,90,60,90,50
2009,1,2,11,40,90,60,90,50
2009,1,2,12,40,90,60,90,50
2009,1,2,13,40,90,60,90,50
2009,1,2,14,40,90,60,90,50
2009,1,2,15,40,90,60,90,50
2009,1,2,16,40,90,60,90,50
2009,1,2,17,40,90,60,90,50
2009,1,2,18,40,90,60,90,50
2009,1,2,19,40,90,60,90,50
2009,1,2,20,40,90,60,90,50
2009,1,2,21,40,90,60,90,50
2009,1,2,22,40,90,60,90,50
2009,1,2,23,40,90,60,90,50
2009,1,2,24,40,90,60,90,50
2009,1,3,1,0,50,30,100,90
2009,1,3,2,0,50,30,100,90
2009,1,3,3,0,50,30,100,90
2009,1,3,4,0,50,30,100,90
2009,1,3,5,0,50,30,100,90
2009,1,3,6,0,50,30,100,90
2009,1,3,7,0,50,30,100,90
2009,1,3,8,0,50,30,100,90
2009,1,3,9,0,50,30,100,90
2009,1,3,10,0,50,30,100,90
2009,1,3,11,0,50,30,100,90
2009,1,3,12,0,50,30,100,90
2009,1,3,13,0,50,30,100,90
2009,1,3,14,0,50,30,100,90
2009,1,3,15,0,50,30,100,90
2009,1,3,16,0,50,30,100,90
2009,1,3,17,0,50,30,100,90
2009,1,3,18,0,50,30,100,90
2009,1,3,19,0,50,30,100,90
2009,1,3,20,0,50,30,100,90
2009,1,3,21,0,50,30,100,90
2009,1,3,22,0,50,30,100,90
2009,1,3,23,0,50,30,100,90
2009,1,3,24,0,50,30,100,90
2009,1,4,1,70,20,20,60,40
2009,1,4,2,70,20,20,60,40
2009,1,4,3,70,20,20,60,40
2009,1,4,4,70,20,20,60,40
2009,1,4,5,70,20,20,60,40
2009,1,4,6,70,20,20,60,40
2009,1,4,7,70,20,20,60,40
2009,1,4,8,70,20,20,60,40
2009,1,4,9,70,20,20,60,40
2009,1,4,10,70,20,20,60,40
2009,1,4,11,70,20,20,60,40
2009,1,4,12,70,20,20,60,40
2009,1,4,13,70,20,20,60,40
2009,1,4,14,70,20,20,60,40
2009,1,4,15,70,20,20,60,40
2009,1,4,16,70,20,20,60,40
2009,1,4,17,70,20,20,60,40
2009,1,4,18,70,20,20,60,40
2009,1,4,19,70,20,20,60,40
2009,1,4,20,70,20,20,60,40
2009,1,4,21,70,20,20,60,40
2009,1,4,22,70,20,20,60,40
2009,1,4,23,70,20,20,60,40
2009,1,4,24,70,20,20,60,40
2009,1,5,1,80,40,20,30,100
2009,1,5,2,80,40,20,30,100
2009,1,5,3,80,40,20,30,100
2009,1,5,4,80,40,20,30,100
2009,1,5,5,80,40,20,30,100
2009,1,5,6,80,40,20,30,100
2009,1,5,7,80,40,20,30,100
2009,1,5,8,80,40,20,30,100
2009,1,5,9,80,40,20,30,100
2009,1,5,10,80,40,20,30,100
2009,1,5,11,80,40,20,30,100
2009,1,5,12,80,40,20,30,100
2009,1,5,13,80,40,20,30,100
2009,1,5,14,80,40,20,30,100
2009,1,5,15,80,40,20,30,100
2009,1,5,16,80,40,20,30,100
2009,1,5,17,80,40,20,30,100
2009,1,5,18,80,40,20,30,100
2009,1,5,19,80,40,20,30,100
2009,1,5,20,80,40,20,30,100
2009,1,5,21,80,40,20,30,100
2009,1,5,22,80,40,20,30,100
2009,1,5,23,80,40,20,30,100
2009,1,5,24,80,40,20,30,100
2009,1,6,1,40,50,20,50,20
2009,1,6,2,40,50,20,50,20
2009,1,6,3,40,50,20,50,20
2009,1,6,4,40,50,20,50,20
2009,1,6,5,40,50,20,50,20
2009,1,6,6,40,50,20,50,20
2009,1,6,7,40,50,20,50,20
2009,1,6,8,40,50,20,50,20
2009,1,6,9,40,50,20,50,20
2009,1,6,10,40,50,20,50,20
2009,1,6,11,40,50,20,50,20
2009,1,6,12,40,50,20,50,20
2009,1,6,13,40,50,20,50,20
2009,1,6,14,40,50,20,50,20
2009,1,6,15,40,50,20,50,20
2009,1,6,16,40,50,20,50,20
2009,1,6,17,40,50,20,50,20
2009,1,6,18,40,50,20,50,20
2009,1,6,19,40,50,20,50,20
2009,1,6,20,40,50,20,50,20
2009,1,6,21,40,50,20,50,20
2009,1,6,22,40,50,20,50,20
2009,1,6,23,40,50,20,50,20
2009,1,6,24,40,50,20,50,20
2009,1,7,1,30,50,50,50,100
2009,1,7,2,30,50,50,50,100
2009,1,7,3,30,50,50,50,100
2009,1,7,4,30,50,50,50,100
2009,1,7,5,30,50,50,50,100
2009,1,7,6,30,50,50,50,100
2009,1,7,7,30,50,50,50,100
2009,1,7,8,30,50,50,50,100
2009,1,7,9,30,50,50,50,100
2009,1,7,10,30,50,50,50,100
2009,1,7,11,30,50,50,50,100
2009,1,7,12,30,50,50,50,100
2009,1,7,13,30,50,50,50,100
2009,1,7,14,30,50,50,50,100
2009,1,7,15,30,50,50,50,100
2009,1,7,16,30,50,50,50,100
2009,1,7,17,30,50,50,50,100
2009,1,7,18,30,50,50,50,100
2009,1,7,19,30,50,50,50,100
2009,1,7,20,30,50,50,50,100
2009,1,7,21,30,50,50,50,100
2009,1,7,22,30,50,50,50,100
2009,1,7,23,30,50,50,50,100
2009,1,7,24,30,50,50,50,100
2009,1,8,1,80,90,80,40,20
2009,1,8,2,80,90,80,40,20
2009,1,8,3,80,90,80,40,20
2009,1,8,4,80,90,80,40,20
2009,1,8,5,80,90,80,40,20
2009,1,8,6,80,90,80,40,20
2009,1,8,7,80,90,80,40,20
2009,1,8,8,80,90,80,40,20
2009,1,8,9,80,90,80,40,20
2009,1,8,10,80,90,80,40,20
2009,1,8,11,80,90,80,40,20
2009,1,8,12,80,90,80,40,20
2009,1,8,13,80,90,80,40,20
2009,1,8,14,80,90,80,40,20
2009,1,8,15,80,90,80,40,20
2009,1,8,16,80,90,80,40,20
2009,1,8,17,80,90,80,40,20
2009,1,8,18,80,90,80,40,20
2009,1,8,19,80,90,80,40,20
2009,1,8,20,80,90,80,40,20
2009,1,8,21,80,90,80,40,20
2009,1,8,22,80,90,80,40,20
2009,1,8,23,80,90,80,40,20
2009,1,8,24,80,90,80,40,20
2009,1,9,1,0,30,40,50,100
2009,1,9,2,0,30,40,50,100
2009,1,9,3,0,30,40,50,100
2009,1,9,4,0,30,40,50,100
2009,1,9,5,0,30,40,50,100
2009,1,9,6,0,30,40,50,100
2009,1,9,7,0,30,40,50,100
2009,1,9,8,0,30,40,50,100
2009,1,9,9,0,30,40,50,100
2009,1,9,10,0,30,40,50,100
2009,1,9,11,0,30,40,50,100
2009,1,9,12,0,30,40,50,100
2009,1,9,13,0,30,40,50,100
2009,1,9,14,0,30,40,50,100
2009,1,9,15,0,30,40,50,100
2009,1,9,16,0,30,40,50,100
2009,1,9,17,0,30,40,50,100
2009,1,9,18,0,30,40,50,100
2009,1,9,19,0,30,40,50,100
2009,1,9,20,0,30,40,50,100
2009,1,9,21,0,30,40,50,100
2009,1,9,22,0,30,40,50,100
2009,1,9,23,0,30,40,50,100
2009,1,9,24,0,30,40,50,100
2009,1,10,1,100,60,60,10,40
2009,1,10,2,100,60,60,10,40
2009,1,10,3,100,60,60,10,40
2009,1,10,4,100,60,60,10,40
2009,1,10,5,100,60,60,10,40
2009,1,10,6,100,60,60,10,40
2009,1,10,7,100,60,60,10,40
2009,1,10,8,100,60,60,10,40
2009,1,10,9,100,60,60,10,40
2009,1,10,10,100,60,60,10,40
2009,1,10,11,100,60,60,10,40
2009,1,10,12,100,60,60,10,40
2009,1,10,13,100,60,60,10,40
2009,1,10,14,100,60,60,10,40
2009,1,10,15,100,60,60,10,40
2009,1,10,16,100,60,60,10,40
2009,1,10,17,100,60,60,10,40
2009,1,10,18,100,60,60,10,40
2009,1,10,19,100,60,60,10,40
2009,1,10,20,100,60,60,10,40
2009,1,10,21,100,60,60,10,40
2009,1,10,22,100,60,60,10,40
2009,1,10,23,100,60,60,10,40
2009,1,10,24,100,60,60,10,40
2009,1,11,1,100,20,10,30,60
2009,1,11,2,100,20,10,30,60
2009,1,11,3,100,20,10,30,60
2009,1,11,4,100,20,10,30,60
2009,1,11,5,100,20,10,30,60
2009,1,11,6,100,20,10,30,60
2009,1,11,7,100,20,10,30,60
2009,1,11,8,100,20,10,30,60
2009,1,11,9,100,20,10,30,60
2009,1,11,10,100,20,10,30,60
2009,1,11,11,100,20,10,30,60
2009,1,11,12,100,20,10,30,60
2009,1,11,13,100,20,10,30,60
2009,1,11,14,100,20,10,30,60
2009,1,11,15,100,20,10,30,60
2009,1,11,16,100,20,10,30,60
2009,1,11,17,100,20,10,30,60
2009,1,11,18,100,20,10,30,60
2009,1,11,19,100,20,10,30,60
2009,1,11,20,100,20,10,30,60
2009,1,11,21,100,20,10,30,60
2009,1,11,22,100,20,10,30,60
2009,1,11,23,100,20,10,30,60
2009,1,11,24,100,20,10,30,60
2009,1,12,1,40,40,30,90,70
2009,1,12,2,40,40,30,90,70
2009,1,12,3,40,40,30,90,70
2009,1,12,4,40,40,30,90,70
2009,1,12,5,40,40,30,90,70
2009,1,12,6,40,40,30,90,70
2009,1,12,7,40,40,30,90,70
2009,1,12,8,40,40,30,90,70
2009,1,12,9,40,40,30,90,70
2009,1,12,10,40,40,30,90,70
2009,1,12,11,40,40,30,90,70
2009,1,12,12,40,40,30,90,70
2009,1,12,13,40,40,30,90,70
2009,1,12,14,40,40,30,90,70
2009,1,12,15,40,40,30,90,70
2009,1,12,16,40,40,30,90,70
2009,1,12,17,40,40,30,90,70
2009,1,12,18,40,40,30,90,70
2009,1,12,19,40,40,30,90,70
2009,1,12,20,40,40,30,90,70
2009,1,12,21,40,40,30,90,70
2009,1,12,22,40,40,30,90,70
2009,1,12,23,40,40,30,90,70
2009,1,12,24,40,40,30,90,70
2009,1,13,1,10,0,0,100,40
2009,1,13,2,10,0,0,100,40
2009,1,13,3,10,0,0,100,40
2009,1,13,4,10,0,0,100,40
2009,1,13,5,10,0,0,100,40
2009,1,13,6,10,0,0,100,40
2009,1,13,7,10,0,0,100,40
2009,1,13,8,10,0,0,100,40
2009,1,13,9,10,0,0,100,40
2009,1,13,10,10,0,0,100,40
2009,1,13,11,10,0,0,100,40
2009,1,13,12,10,0,0,100,40
2009,1,13,13,10,0,0,100,40
2009,1,13,14,10,0,0,100,40
2009,1,13,15,10,0,0,100,40
2009,1,13,16,10,0,0,100,40
2009,1,13,17,10,0,0,100,40
2009,1,13,18,10,0,0,100,40
2009,1,13,19,10,0,0,100,40
2009,1,13,20,10,0,0,100,40
2009,1,13,21,10,0,0,100,40
2009,1,13,22,10,0,0,100,40
2009,1,13,23,10,0,0,100,40
2009,1,13,24,10,0,0,100,40
2009,1,14,1,40,60,20,0,70
2009,1,14,2,40,60,20,0,70
2009,1,14,3,40,60,20,0,70
2009,1,14,4,40,60,20,0,70
2009,1,14,5,40,60,20,0,70
2009,1,14,6,40,60,20,0,70
2009,1,14,7,40,60,20,0,70
2009,1,14,8,40,60,20,0,70
2009,1,14,9,40,60,20,0,70
2009,1,14,10,40,60,20,0,70
2009,1,14,11,40,60,20,0,70
2009,1,14,12,40,60,20,0,70
2009,1,14,13,40,60,20,0,70
2009,1,14,14,40,60,20,0,70
2009,1,14,15,40,60,20,0,70
2009,1,14,16,40,60,20,0,70
2009,1,14,17,40,60,20,0,70
2009,1,14,18,40,60,20,0,70
2009,1,14,19,40,60,20,0,70
2009,1,14,20,40,60,20,0,70
2009,1,14,21,40,60,20,0,70
2009,1,14,22,40,60,20,0,70
2009,1,14,23,40,60,20,0,70
2009,1,14,24,40,60,20,0,70
2009,1,15,1,50,20,20,70,80
2009,1,15,2,50,20,20,70,80
2009,1,15,3,50,20,20,70,80
2009,1,15,4,50,20,20,70,80
2009,1,15,5,50,20,20,70,80
2009,1,15,6,50,20,20,70,80
2009,1,15,7,50,20,20,70,80
2009,1,15,8,50,20,20,70,80
2009,1,15,9,50,20,20,70,80
2009,1,15,10,50,20,20,70,80
2009,1,15,11,50,20,20,70,80
2009,1,15,12,50,20,20,70,80
2009,1,15,13,50,20,20,70,80
2009,1,15,14,50,20,20,70,80
2009,1,15,15,50,20,20,70,80
2009,1,15,16,50,20,20,70,80
2009,1,15,17,50,20,20,70,80
2009,1,15,18,50,20,20,70,80
2009,1,15,19,50,20,20,70,80
2009,1,15,20,50,20,20,70,80
2009,1,15,21,50,20,20,70,80
2009,1,15,22,50,20,20,70,80
2009,1,15,23,50,20,20,70,80
2009,1,15,24,50,20,20,70,80
2009,1,16,1,50,50,40,60,80
2009,1,16,2,50,50,40,60,80
2009,1,16,3,50,50,40,60,80
2009,1,16,4,50,50,40,60,80
2009,1,16,5,50,50,40,60,80
2009,1,16,6,50,50,40,60,80
2009,1,16,7,50,50,40,60,80
2009,1,16,8,50,50,40,60,80
2009,1,16,9,50,50,40,60,80
2009,1,16,10,50,50,40,60,80
2009,1,16,11,50,50,40,60,80
2009,1,16,12,50,50,40,60,80
2009,1,16,13,50,50,40,60,80
2009,1,16,14,50,50,40,60,80
2009,1,16,15,50,50,40,60,80
2009,1,16,16,50,50,40,60,80
2009,1,16,17,50,50,40,60,80
2009,1,16,18,50,50,40,60,80
2009,1,16,19,50,50,40,60,80
2009,1,16,20,50,50,40,60,80
2009,1,16,21,50,50,40,60,80
2009,1,16,22,50,50,40,60,80
2009,1,16,23,50,50,40,60,80
2009,1,16,24,50,50,40,60,80
2009,1,17,1,30,80,0,50,40
2009,1,17,2,30,80,0,50,40
2009,1,17,3,30,80,0,50,40
2009,1,17,4,30,80,0,50,40
2009,1,17,5,30,80,0,50,40
2009,1,17,6,30,80,0,50,40
2009,1,17,7,30,80,0,50,40
2009,1,17,8,30,80,0,50,40
2009,1,17,9,30,80,0,50,40
2009,1,17,10,30,80,0,50,40
2009,1,17,11,30,80,0,50,40
2009,1,17,12,30,80,0,50,40
2009,1,17,13,30,80,0,50,40
2009,1,17,14,30,80,0,50,40
2009,1,17,15,30,80,0,50,40
2009,1,17,16,30,80,0,50,40
2009,1,17,17,30,80,0,50,40
2009,1,17,18,30,80,0,50,40
2009,1,17,19,30,80,0,50,40
2009,1,17,20,30,80,0,50,40
2009,1,17,21,30,80,0,50,40
2009,1,17,22,30,80,0,50,40
2009,1,17,23,30,80,0,50,40
2009,1,17,24,30,80,0,50,40
2009,1,18,1,100,40,100,40,20
2009,1,18,2,100,40,100,40,20
2009,1,18,3,100,40,100,40,20
2009,1,18,4,100,40,100,40,20
2009,1,18,5,100,40,100,40,20
2009,1,18,6,100,40,100,40,20
2009,1,18,7,100,40,100,40,20
2009,1,18,8,100,40,100,40,20
2009,1,18,9,100,40,100,40,20
2009,1,18,10,100,40,100,40,20
2009,1,18,11,100,40,100,40,20
2009,1,18,12,100,40,100,40,20
2009,1,18,13,100,40,100,40,20
2009,1,18,14,100,40,100,40,20
2009,1,18,15,100,40,100,40,20
2009,1,18,16,100,40,100,40,20
2009,1,18,17,100,40,100,40,20
2009,1,18,18,100,40,100,40,20
2009,1,18,19,100,40,100,40,20
2009,1,18,20,100,40,100,40,20
2009,1,18,21,100,40,100,40,20
2009,1,18,22,100,40,100,40,20
2009,1,18,23,100,40,100,40,20
2009,1,18,24,100,40,100,40,20
2009,1,19,1,90,50,40,60,20
2009,1,19,2,90,50,40,60,20
2009,1,19,3,90,50,40,60,20
2009,1,19,4,90,50,40,60,20
2009,1,19,5,90,50,40,60,20
2009,1,19,6,90,50,40,60,20
2009,1,19,7,90,50,40,60,20
2009,1,19,8,90,50,40,60,20
2009,1,19,9,90,50,40,60,20
2009,1,19,10,90,50,40,60,20
2009,1,19,11,90,50,40,60,20
2009,1,19,12,90,50,40,60,20
2009,1,19,13,90,50,40,60,20
2009,1,19,14,90,50,40,60,20
2009,1,19,15,90,50,40,60,20
2009,1,19,16,90,50,40,60,20
2009,1,19,17,90,50,40,60,20
2009,1,19,18,90,50,40,60,20
2009,1,19,19,90,50,40,60,20
2009,1,19,20,90,50,40,60,20
2009,1,19,21,90,50,40,60,20
2009,1,19,22,90,50,40,60,20
2009,1,19,23,90,50,40,60,20
2009,1,19,24,90,50,40,60,20
2009,1,20,1,20,20,60,90,90
2009,1,20,2,20,20,60,90,90
2009,1,20,3,20,20,60,90,90
2009,1,20,4,20,20,60,90,90
2009,1,20,5,20,20,60,90,90
2009,1,20,6,20,20,60,90,90
2009,1,20,7,20,20,60,90,90
2009,1,20,8,20,20,60,90,90
2009,1,20,9,20,20,60,90,90
2009,1,20,10,20,20,60,90,90
2009,1,20,11,20,20,60,90,90
2009,1,20,12,20,20,60,90,90
2009,1,20,13,20,20,60,90,90
2009,1,20,14,20,20,60,90,90
2009,1,20,15,20,20,60,90,90
2009,1,20,16,20,20,60,90,90
2009,1,20,17,20,20,60,90,90
2009,1,20,18,20,20,60,90,90
2009,1,20,19,20,20,60,90,90
2009,1,20,20,20,20,60,90,90
2009,1,20,21,20,20,60,90,90
2009,1,20,22,20,20,60,90,90
2009,1,20,23,20,20,60,90,90
2009,1,20,24,20,20,60,90,90
2009,1,21,1,70,100,100,70,80
2009,1,21,2,70,100,100,70,80
2009,1,21,3,70,100,100,70,80
2009,1,21,4,70,100,100,70,80
2009,1,21,5,70,100,100,70,80
2009,1,21,6,70,100,100,70,80
2009,1,21,7,70,100,100,70,80
2009,1,21,8,70,100,100,70,80
2009,1,21,9,70,100,100,70,80
2009,1,21,10,70,100,100,70,80
2009,1,21,11,70,100,100,70,80
2009,1,21,12,70,100,100,70,80
2009,1,21,13,70,100,100,70,80
2009,1,21,14,70,100,100,70,80
2009,1,21,15,70,100,100,70,80
2009,1,21,16,70,100,100,70,80
2009,1,21,17,70,100,100,70,80
2009,1,21,18,70,100,100,70,80
2009,1,21,19,70,100,100,70,80
2009,1,21,20,70,100,100,70,80
2009,1,21,21,70,100,100,70,80
2009,1,21,22,70,100,100,70,80
2009,1,21,23,70,100,100,70,80
2009,1,21,24,70,100,100,70,80
2009,1,22,1,30,80,0,30,30
2009,1,22,2,30,80,0,30,30
2009,1,22,3,30,80,0,30,30
2009,1,22,4,30,80,0,30,30
2009,1,22,5,30,80,0,30,30
2009,1,22,6,30,80,0,30,30
2009,1,22,7,30,80,0,30,30
2009,1,22,8,30,80,0,30,30
2009,1,22,9,30,80,0,30,30
2009,1,22,10,30,80,0,30,30
2009,1,22,11,30,80,0,30,30
2009,1,22,12,30,80,0,30,30
2009,1,22,13,30,80,0,30,30
2009,1,22,14,30,80,0,30,30
2009,1,22,15,30,80,0,30,30
2009,1,22,16,30,80,0,30,30
2009,1,22,17,30,80,0,30,30
2009,1,22,18,30,80,0,30,30
2009,1,22,19,30,80,0,30,30
2009,1,22,20,30,80,0,30,30
2009,1,22,21,30,80,0,30,30
2009,1,22,22,30,80,0,30,30
2009,1,22,23,30,80,0,30,30
2009,1,22,24,30,80,0,30,30
2009,1,23,1,10,100,40,40,80
2009,1,23,2,10,100,40,40,80
2009,1,23,3,10,100,40,40,80
2009,1,23,4,10,100,40,40,80
2009,1,23,5,10,100,40,40,80
2009,1,23,6,10,100,40,40,80
2009,1,23,7,10,100,40,40,80
2009,1,23,8,10,100,40,40,80
2009,1,23,9,10,100,40,40,80
2009,1,23,10,10,100,40,40,80
2009,1,23,11,10,100,40,40,80
2009,1,23,12,10,100,40,40,80
2009,1,23,13,10,100,40,40,80
2009,1,23,14,10,100,40,40,80
2009,1,23,15,10,100,40,40,80
2009,1,23,16,10,100,40,40,80
2009,1,23,17,10,100,40,40,80
2009,1,23,18,10,100,40,40,80
2009,1,23,19,10,100,40,40,80
2009,1,23,20,10,100,40,40,80
2009,1,23,21,10,100,40,40,80
2009,1,23,22,10,100,40,40,80
2009,1,23,23,10,100,40,40,80
2009,1,23,24,10,100,40,40,80
2009,1,24,1,40,60,70,0,40
2009,1,24,2,40,60,70,0,40
2009,1,24,3,40,60,70,0,40
2009,1,24,4,40,60,70,0,40
2009,1,24,5,40,60,70,0,40
2009,1,24,6,40,60,70,0,40
2009,1,24,7,40,60,70,0,40
2009,1,24,8,40,60,70,0,40
2009,1,24,9,40,60,70,0,40
2009,1,24,10,40,60,70,0,40
2009,1,24,11,40,60,70,0,40
2009,1,24,12,40,60,70,0,40
2009,1,24,13,40,60,70,0,40
2009,1,24,14,40,60,70,0,40
2009,1,24,15,40,60,70,0,40
2009,1,24,16,40,60,70,0,40
2009,1,24,17,40,60,70,0,40
2009,1,24,18,40,60,70,0,40
2009,1,24,19,40,60,70,0,40
2009,1,24,20,40,60,70,0,40
2009,1,24,21,40,60,70,0,40
2009,1,24,22,40,60,70,0,40
2009,1,24,23,40,60,70,0,40
2009,1,24,24,40,60,70,0,40
2009,1,25,1,100,60,100,100,80
2009,1,25,2,100,60,100,100,80
2009,1,25,3,100,60,100,100,80
2009,1,25,4,100,60,100,100,80
2009,1,25,5,100,60,100,100,80
2009,1,25,6,100,60,100,100,80
2009,1,25,7,100,60,100,100,80
2009,1,25,8,100,60,100,100,80
2009,1,25,9,100,60,100,100,80
2009,1,25,10,100,60,100,100,80
2009,1,25,11,100,60,100,100,80
2009,1,25,12,100,60,100,100,80
2009,1,25,13,100,60,100,100,80
2009,1,25,14,100,60,100,100,80
2009,1,25,15,100,60,100,100,80
2009,1,25,16,100,60,100,100,80
2009,1,25,17,100,60,100,100,80
2009,1,25,18,100,60,100,100,80
2009,1,25,19,100,60,100,100,80
2009,1,25,20,100,60,100,100,80
2009,1,25,21,100,60,100,100,80
2009,1,25,22,100,60,100,100,80
2009,1,25,23,100,60,100,100,80
2009,1,25,24,100,60,100,100,80
2009,1,26,1,50,90,0,80,10
2009,1,26,2,50,90,0,80,10
2009,1,26,3,50,90,0,80,10
2009,1,26,4,50,90,0,80,10
2009,1,26,5,50,90,0,80,10
2009,1,26,6,50,90,0,80,10
2009,1,26,7,50,90,0,80,10
2009,1,26,8,50,90,0,80,10
2009,1,26,9,50,90,0,80,10
2009,1,26,10,50,90,0,80,10
2009,1,26,11,50,90,0,80,10
2009,1,26,12,50,90,0,80,10
2009,1,26,13,50,90,0,80,10
2009,1,26,14,50,90,0,80,10
2009,1,26,15,50,90,0,80,10
2009,1,26,16,50,90,0,80,10
2009,1,26,17,50,90,0,80,10
2009,1,26,18,50,90,0,80,10
2009,1,26,19,50,90,0,80,10
2009,1,26,20,50,90,0,80,10
2009,1,26,21,50,90,0,80,10
2009,1,26,22,50,90,0,80,10
2009,1,26,23,50,90,0,80,10
2009,1,26,24,50,90,0,80,10
2009,1,27,1,0,20,50,0,90
2009,1,27,2,0,20,50,0,90
2009,1,27,3,0,20,50,0,90
2009,1,27,4,0,20,50,0,90
2009,1,27,5,0,20,50,0,90
2009,1,27,6,0,20,50,0,90
2009,1,27,7,0,20,50,0,90
2009,1,27,8,0,20,50,0,90
2009,1,27,9,0,20,50,0,90
2009,1,27,10,0,20,50,0,90
2009,1,27,11,0,20,50,0,90
2009,1,27,12,0,20,50,0,90
2009,1,27,13,0,20,50,0,90
2009,1,27,14,0,20,50,0,90
2009,1,27,15,0,20,50,0,90
2009,1,27,16,0,20,50,0,90
2009,1,27,17,0,20,50,0,90
2009,1,27,18,0,20,50,0,90
2009,1,27,19,0,20,50,0,90
2009,1,27,20,0,20,50,0,90
2009,1,27,21,0,20,50,0,90
2009,1,27,22,0,20,50,0,90
2009,1,27,23,0,20,50,0,90
2009,1,27,24,0,20,50,0,90
2009,1,28,1,50,10,20,0,20
2009,1,28,2,50,10,20,0,20
2009,1,28,3,50,10,20,0,20
2009,1,28,4,50,10,20,0,20
2009,1,28,5,50,10,20,0,20
2009,1,28,6,50,10,20,0,20
2009,1,28,7,50,10,20,0,20
2009,1,28,8,50,10,20,0,20
2009,1,28,9,50,10,20,0,20
2009,1,28,10,50,10,20,0,20
2009,1,28,11,50,10,20,0,20
2009,1,28,12,50,10,20,0,20
2009,1,28,13,50,10,20,0,20
2009,1,28,14,50,10,20,0,20
2009,1,28,15,50,10,20,0,20
2009,1,28,16,50,10,20,0,20
2009,1,28,17,50,10,20,0,20
2009,1,28,18,50,10,20,0,20
2009,1,28,19,50,10,20,0,20
2009,1,28,20,50,10,20,0,20
2009,1,28,21,50,10,20,0,20
2009,1,28,22,50,10,20,0,20
2009,1,28,23,50,10,20,0,20
2009,1,28,24,50,10,20,0,20
2009,1,29,1,50,50,30,40,30
2009,1,29,2,50,50,30,40,30
2009,1,29,3,50,50,30,40,30
2009,1,29,4,50,50,30,40,30
2009,1,29,5,50,50,30,40,30
2009,1,29,6,50,50,30,40,30
2009,1,29,7,50,50,30,40,30
2009,1,29,8,50,50,30,40,30
2009,1,29,9,50,50,30,40,30
2009,1,29,10,50,50,30,40,30
2009,1,29,11,50,50,30,40,30
2009,1,29,12,50,50,30,40,30
2009,1,29,13,50,50,30,40,30
2009,1,29,14,50,50,30,40,30
2009,1,29,15,50,50,30,40,30
2009,1,29,16,50,50,30,40,30
2009,1,29,17,50,50,30,40,30
2009,1,29,18,50,50,30,40,30
2009,1,29,19,50,50,30,40,30
2009,1,29,20,50,50,30,40,30
2009,1,29,21,50,50,30,40,30
2009,1,29,22,50,50,30,40,30
2009,1,29,23,50,50,30,40,30
2009,1,29,24,50,50,30,40,30
2009,1,30,1,60,100,70,30,60
2009,1,30,2,60,100,70,30,60
2009,1,30,3,60,100,70,30,60
2009,1,30,4,60,100,70,30,60
2009,1,30,5,60,100,70,30,60
2009,1,30,6,60,100,70,30,60
2009,1,30,7,60,100,70,30,60
2009,1,30,8,60,100,70,30,60
2009,1,30,9,60,100,70,30,60
2009,1,30,10,60,100,70,30,60
2009,1,30,11,60,100,70,30,60
2009,1,30,12,60,100,70,30,60
2009,1,30,13,60,100,70,30,60
2009,1,30,14,60,100,70,30,60
2009,1,30,15,60,100,70,30,60
2009,1,30,16,60,100,70,30,60
2009,1,30,17,60,100,70,30,60
2009,1,30,18,60,100,70,30,60
2009,1,30,19,60,100,70,30,60
2009,1,30,20,60,100,70,30,60
2009,1,30,21,60,100,70,30,60
2009,1,30,22,60,100,70,30,60
2009,1,30,23,60,100,70,30,60
2009,1,30,24,60,100,70,30,60
